Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,Unnamed: 13,address,latitude,longitude
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Kajang,DESA SRI JENARIS,JALAN JENARIS SATU,December 2022,Freehold,167.00,sq.m,195,sq.m,    ,"RM460,000.00",,JALAN JENARIS SATU DESA SRI JENARIS Bandar Kajang Hulu Langat Malaysia,3.0186,101.8309
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Kajang,KG BARU SG CHUA,JALAN SG CHUA,March 2022,Leasehold,180.23,sq.m,121,sq.m,    ,"RM800,000.00",,JALAN SG CHUA KG BARU SG CHUA Bandar Kajang Hulu Langat Malaysia,3.0356,101.7884
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Kajang,TMN KANTAN PERMAI, PERSIARAN TKP,October 2023,Leasehold,130.00,sq.m,117,sq.m,    ,"RM335,000.00",,PERSIARAN TKP TMN KANTAN PERMAI Bandar Kajang Hulu Langat Malaysia,3.0555,101.7908
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Kajang,TMN KANTAN PERMAI,PERSIARAN TKP,February 2023,Leasehold,130.00,sq.m,117,sq.m,    ,"RM400,000.00",,PERSIARAN TKP TMN KANTAN PERMAI Bandar Kajang Hulu Langat Malaysia,3.0555,101.7908
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Kajang,TMN SAUJANA IMPIAN,JLN IMPIAN MURNI 1/5,May 2022,Freehold,121.00,sq.m,108,sq.m,    ,"RM470,000.00",,JLN IMPIAN MURNI 1/5 TMN SAUJANA IMPIAN Bandar Kajang Hulu Langat Malaysia,3.0218,101.7898
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Semenyih,PEKAN SEMENYIH,JALAN BESAR,July 2024,Leasehold,222.97,sq.m,186,sq.m,    ,"RM600,000.00",,JALAN BESAR PEKAN SEMENYIH Bandar Semenyih Hulu Langat Malaysia,2.9679,101.8448
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,BDR TASIK KESUMA, JALAN KESUMA 1/1A,April 2024,Freehold,111.00,sq.m,97,sq.m,    ,"RM250,000.00",,JALAN KESUMA 1/1A BDR TASIK KESUMA Beranang Hulu Langat Malaysia,2.8472,101.8929
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,BDR TASIK KESUMA,JALAN KESUMA 1/1,August 2022,Freehold,111.00,sq.m,97,sq.m,    ,"RM262,000.00",,JALAN KESUMA 1/1 BDR TASIK KESUMA Beranang Hulu Langat Malaysia,2.9187,101.8754
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,BDR TASIK KESUMA,JALAN KESUMA 1/1,November 2022,Freehold,111.00,sq.m,97,sq.m,    ,"RM235,000.00",,JALAN KESUMA 1/1 BDR TASIK KESUMA Beranang Hulu Langat Malaysia,2.9187,101.8754
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,JALAN KESUMA 2/4,June 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM622,000.00",,JALAN KESUMA 2/4 KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9211,101.8664
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,JALAN KESUMA 2/4,September 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM596,000.00",,JALAN KESUMA 2/4 KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9211,101.8664
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,JALAN KESUMA 2/6A,April 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM622,000.00",,JALAN KESUMA 2/6A KESUMA SQUARE Beranang Hulu Langat Malaysia,2.8765,101.8958
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,JALAN KESUMA 2/6A,June 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM622,000.00",,JALAN KESUMA 2/6A KESUMA SQUARE Beranang Hulu Langat Malaysia,2.8765,101.8958
